Maximum fit for each generation: 
Best fit for generation 0: 840
Best fit for generation 1: 840
Best fit for generation 2: 840
Best fit for generation 3: 840
Best fit for generation 4: 840
Best fit for generation 5: 840
Best fit for generation 6: 840
Best fit for generation 7: 840
Best fit for generation 8: 840
Best fit for generation 9: 840
Best fit for generation 10: 840
Best fit for generation 11: 840
Best fit for generation 12: 840
Best fit for generation 13: 840
Best fit for generation 14: 840
Best fit for generation 15: 840
Best fit for generation 16: 840
Best fit for generation 17: 840
Best fit for generation 18: 840
Best fit for generation 19: 840
Best fit for generation 20: 840
Best fit for generation 21: 840
Best fit for generation 22: 840
Best fit for generation 23: 840
Best fit for generation 24: 840
Best fit for generation 25: 840
Best fit for generation 26: 840
Best fit for generation 27: 840
Best fit for generation 28: 840
Best fit for generation 29: 840
Best fit for generation 30: 840
Best fit for generation 31: 840
Best fit for generation 32: 840
Best fit for generation 33: 840
Best fit for generation 34: 840
Best fit for generation 35: 840
Best fit for generation 36: 840
Best fit for generation 37: 840
Best fit for generation 38: 840
Best fit for generation 39: 840
Best fit for generation 40: 840
Best fit for generation 41: 840
Best fit for generation 42: 840
Best fit for generation 43: 840
Best fit for generation 44: 840
Best fit for generation 45: 840
Best fit for generation 46: 840
Best fit for generation 47: 840
Best fit for generation 48: 840
Best fit for generation 49: 840
Best fit for generation 50: 840
Best fit for generation 51: 840
Best fit for generation 52: 840
Best fit for generation 53: 840
Best fit for generation 54: 840
Best fit for generation 55: 840
Best fit for generation 56: 840
Best fit for generation 57: 840
Best fit for generation 58: 840
Best fit for generation 59: 840
Best fit for generation 60: 840
Best fit for generation 61: 840
Best fit for generation 62: 840
Best fit for generation 63: 840
Best fit for generation 64: 840
Best fit for generation 65: 840
Best fit for generation 66: 840
Best fit for generation 67: 840
Best fit for generation 68: 840
Best fit for generation 69: 840
Best fit for generation 70: 840
Best fit for generation 71: 840
Best fit for generation 72: 840
Best fit for generation 73: 854
Best fit for generation 74: 854
Best fit for generation 75: 854
Best fit for generation 76: 854
Best fit for generation 77: 854
Best fit for generation 78: 854
Best fit for generation 79: 854
Best fit for generation 80: 854
Best fit for generation 81: 854
