Maximum fit for each generation: 
Best fit for generation 0: 274
Best fit for generation 1: 274
Best fit for generation 2: 274
Best fit for generation 3: 274
Best fit for generation 4: 274
Best fit for generation 5: 274
Best fit for generation 6: 274
Best fit for generation 7: 274
Best fit for generation 8: 274
Best fit for generation 9: 274
Best fit for generation 10: 274
Best fit for generation 11: 274
Best fit for generation 12: 274
Best fit for generation 13: 274
Best fit for generation 14: 274
Best fit for generation 15: 274
Best fit for generation 16: 274
Best fit for generation 17: 274
Best fit for generation 18: 274
Best fit for generation 19: 274
Best fit for generation 20: 274
Best fit for generation 21: 274
Best fit for generation 22: 274
Best fit for generation 23: 274
Best fit for generation 24: 274
Best fit for generation 25: 274
Best fit for generation 26: 274
Best fit for generation 27: 274
Best fit for generation 28: 274
Best fit for generation 29: 274
Best fit for generation 30: 274
Best fit for generation 31: 274
Best fit for generation 32: 274
Best fit for generation 33: 274
Best fit for generation 34: 274
Best fit for generation 35: 274
Best fit for generation 36: 274
Best fit for generation 37: 274
Best fit for generation 38: 274
Best fit for generation 39: 274
Best fit for generation 40: 274
Best fit for generation 41: 274
Best fit for generation 42: 274
Best fit for generation 43: 274
Best fit for generation 44: 274
Best fit for generation 45: 274
Best fit for generation 46: 274
Best fit for generation 47: 274
Best fit for generation 48: 274
Best fit for generation 49: 274
Best fit for generation 50: 274
Best fit for generation 51: 274
Best fit for generation 52: 274
Best fit for generation 53: 274
Best fit for generation 54: 274
Best fit for generation 55: 274
Best fit for generation 56: 274
Best fit for generation 57: 274
Best fit for generation 58: 274
Best fit for generation 59: 274
Best fit for generation 60: 274
Best fit for generation 61: 274
Best fit for generation 62: 274
Best fit for generation 63: 274
Best fit for generation 64: 274
Best fit for generation 65: 274
Best fit for generation 66: 274
Best fit for generation 67: 274
Best fit for generation 68: 274
Best fit for generation 69: 274
Best fit for generation 70: 274
Best fit for generation 71: 274
Best fit for generation 72: 274
Best fit for generation 73: 274
Best fit for generation 74: 274
Best fit for generation 75: 274
Best fit for generation 76: 274
Best fit for generation 77: 274
Best fit for generation 78: 274
Best fit for generation 79: 274
Best fit for generation 80: 274
Best fit for generation 81: 274
Best fit for generation 82: 274
Best fit for generation 83: 274
Best fit for generation 84: 274
Best fit for generation 85: 274
Best fit for generation 86: 274
Best fit for generation 87: 274
Best fit for generation 88: 274
Best fit for generation 89: 274
Best fit for generation 90: 274
Best fit for generation 91: 274
Best fit for generation 92: 274
Best fit for generation 93: 274
Best fit for generation 94: 274
Best fit for generation 95: 274
Best fit for generation 96: 274
Best fit for generation 97: 274
Best fit for generation 98: 274
Best fit for generation 99: 274
Best fit for generation 100: 274
Best fit for generation 101: 274
Best fit for generation 102: 274
Best fit for generation 103: 274
Best fit for generation 104: 274
Best fit for generation 105: 274
Best fit for generation 106: 274
Best fit for generation 107: 274
Best fit for generation 108: 274
Best fit for generation 109: 274
Best fit for generation 110: 274
Best fit for generation 111: 274
Best fit for generation 112: 274
Best fit for generation 113: 274
Best fit for generation 114: 274
Best fit for generation 115: 274
Best fit for generation 116: 274
Best fit for generation 117: 274
Best fit for generation 118: 274
Best fit for generation 119: 274
Best fit for generation 120: 274
Best fit for generation 121: 274
Best fit for generation 122: 274
Best fit for generation 123: 274
Best fit for generation 124: 274
Best fit for generation 125: 274
Best fit for generation 126: 274
Best fit for generation 127: 274
Best fit for generation 128: 274
Best fit for generation 129: 274
Best fit for generation 130: 274
Best fit for generation 131: 274
Best fit for generation 132: 274
Best fit for generation 133: 274
Best fit for generation 134: 274
Best fit for generation 135: 274
Best fit for generation 136: 274
Best fit for generation 137: 274
Best fit for generation 138: 274
Best fit for generation 139: 274
Best fit for generation 140: 274
Best fit for generation 141: 274
Best fit for generation 142: 274
Best fit for generation 143: 274
Best fit for generation 144: 274
Best fit for generation 145: 274
Best fit for generation 146: 274
Best fit for generation 147: 274
Best fit for generation 148: 274
Best fit for generation 149: 274
Best fit for generation 150: 274
Best fit for generation 151: 274
Best fit for generation 152: 274
Best fit for generation 153: 274
Best fit for generation 154: 274
Best fit for generation 155: 274
