Maximum fit for each generation: 
Best fit for generation 0: 495
Best fit for generation 1: 495
Best fit for generation 2: 495
Best fit for generation 3: 495
Best fit for generation 4: 499
Best fit for generation 5: 506
Best fit for generation 6: 520
Best fit for generation 7: 520
Best fit for generation 8: 520
Best fit for generation 9: 520
Best fit for generation 10: 520
Best fit for generation 11: 520
Best fit for generation 12: 520
Best fit for generation 13: 520
Best fit for generation 14: 520
Best fit for generation 15: 520
Best fit for generation 16: 527
Best fit for generation 17: 527
Best fit for generation 18: 527
Best fit for generation 19: 527
Best fit for generation 20: 527
Best fit for generation 21: 527
Best fit for generation 22: 527
Best fit for generation 23: 527
Best fit for generation 24: 527
Best fit for generation 25: 527
Best fit for generation 26: 527
Best fit for generation 27: 527
Best fit for generation 28: 527
Best fit for generation 29: 527
Best fit for generation 30: 527
Best fit for generation 31: 527
Best fit for generation 32: 527
Best fit for generation 33: 527
Best fit for generation 34: 527
Best fit for generation 35: 527
Best fit for generation 36: 527
Best fit for generation 37: 527
Best fit for generation 38: 527
Best fit for generation 39: 527
Best fit for generation 40: 539
Best fit for generation 41: 539
Best fit for generation 42: 539
Best fit for generation 43: 539
Best fit for generation 44: 539
Best fit for generation 45: 539
Best fit for generation 46: 539
Best fit for generation 47: 539
Best fit for generation 48: 539
Best fit for generation 49: 539
Best fit for generation 50: 539
Best fit for generation 51: 539
Best fit for generation 52: 539
Best fit for generation 53: 539
Best fit for generation 54: 539
Best fit for generation 55: 539
Best fit for generation 56: 539
Best fit for generation 57: 539
Best fit for generation 58: 539
Best fit for generation 59: 539
Best fit for generation 60: 539
Best fit for generation 61: 539
Best fit for generation 62: 539
Best fit for generation 63: 539
Best fit for generation 64: 539
Best fit for generation 65: 539
Best fit for generation 66: 539
Best fit for generation 67: 539
Best fit for generation 68: 539
Best fit for generation 69: 539
Best fit for generation 70: 539
Best fit for generation 71: 539
Best fit for generation 72: 539
Best fit for generation 73: 539
Best fit for generation 74: 539
Best fit for generation 75: 539
Best fit for generation 76: 539
Best fit for generation 77: 539
Best fit for generation 78: 539
Best fit for generation 79: 539
Best fit for generation 80: 539
Best fit for generation 81: 539
Best fit for generation 82: 539
Best fit for generation 83: 539
Best fit for generation 84: 539
Best fit for generation 85: 539
Best fit for generation 86: 539
Best fit for generation 87: 539
Best fit for generation 88: 539
Best fit for generation 89: 539
Best fit for generation 90: 539
Best fit for generation 91: 539
Best fit for generation 92: 539
Best fit for generation 93: 539
Best fit for generation 94: 539
Best fit for generation 95: 539
Best fit for generation 96: 539
Best fit for generation 97: 539
Best fit for generation 98: 539
Best fit for generation 99: 539
Best fit for generation 100: 539
Best fit for generation 101: 539
Best fit for generation 102: 539
Best fit for generation 103: 539
Best fit for generation 104: 539
Best fit for generation 105: 539
Best fit for generation 106: 539
Best fit for generation 107: 539
Best fit for generation 108: 539
Best fit for generation 109: 539
Best fit for generation 110: 539
Best fit for generation 111: 539
Best fit for generation 112: 539
Best fit for generation 113: 539
Best fit for generation 114: 539
Best fit for generation 115: 539
Best fit for generation 116: 539
Best fit for generation 117: 539
Best fit for generation 118: 539
Best fit for generation 119: 539
Best fit for generation 120: 539
Best fit for generation 121: 539
Best fit for generation 122: 539
Best fit for generation 123: 539
Best fit for generation 124: 539
Best fit for generation 125: 539
Best fit for generation 126: 539
Best fit for generation 127: 539
Best fit for generation 128: 539
Best fit for generation 129: 539
Best fit for generation 130: 539
Best fit for generation 131: 539
Best fit for generation 132: 539
Best fit for generation 133: 539
Best fit for generation 134: 539
Best fit for generation 135: 539
Best fit for generation 136: 539
Best fit for generation 137: 554
Best fit for generation 138: 554
Best fit for generation 139: 554
Best fit for generation 140: 554
Best fit for generation 141: 554
Best fit for generation 142: 554
Best fit for generation 143: 554
Best fit for generation 144: 554
Best fit for generation 145: 554
Best fit for generation 146: 554
Best fit for generation 147: 554
Best fit for generation 148: 554
Best fit for generation 149: 554
Best fit for generation 150: 554
Best fit for generation 151: 554
Best fit for generation 152: 554
Best fit for generation 153: 554
Best fit for generation 154: 554
Best fit for generation 155: 554
Best fit for generation 156: 569
Best fit for generation 157: 569
Best fit for generation 158: 569
Best fit for generation 159: 569
Best fit for generation 160: 569
Best fit for generation 161: 569
Best fit for generation 162: 569
Best fit for generation 163: 569
Best fit for generation 164: 569
Best fit for generation 165: 569
Best fit for generation 166: 569
Best fit for generation 167: 569
