Maximum fit for each generation: 
Best fit for generation 0: 599
Best fit for generation 1: 599
Best fit for generation 2: 599
Best fit for generation 3: 599
Best fit for generation 4: 599
Best fit for generation 5: 599
Best fit for generation 6: 599
Best fit for generation 7: 599
Best fit for generation 8: 599
Best fit for generation 9: 599
Best fit for generation 10: 599
Best fit for generation 11: 599
Best fit for generation 12: 599
Best fit for generation 13: 599
Best fit for generation 14: 599
Best fit for generation 15: 599
Best fit for generation 16: 599
Best fit for generation 17: 599
Best fit for generation 18: 599
Best fit for generation 19: 599
Best fit for generation 20: 599
Best fit for generation 21: 599
Best fit for generation 22: 599
Best fit for generation 23: 599
Best fit for generation 24: 599
Best fit for generation 25: 599
Best fit for generation 26: 599
Best fit for generation 27: 599
Best fit for generation 28: 599
Best fit for generation 29: 599
Best fit for generation 30: 599
Best fit for generation 31: 599
Best fit for generation 32: 599
Best fit for generation 33: 599
Best fit for generation 34: 599
Best fit for generation 35: 599
Best fit for generation 36: 599
Best fit for generation 37: 599
Best fit for generation 38: 599
Best fit for generation 39: 599
Best fit for generation 40: 599
Best fit for generation 41: 599
Best fit for generation 42: 599
Best fit for generation 43: 599
Best fit for generation 44: 599
Best fit for generation 45: 599
Best fit for generation 46: 599
Best fit for generation 47: 599
Best fit for generation 48: 599
Best fit for generation 49: 599
Best fit for generation 50: 599
Best fit for generation 51: 599
Best fit for generation 52: 599
Best fit for generation 53: 599
Best fit for generation 54: 599
Best fit for generation 55: 599
Best fit for generation 56: 599
Best fit for generation 57: 599
Best fit for generation 58: 599
Best fit for generation 59: 599
Best fit for generation 60: 599
Best fit for generation 61: 599
Best fit for generation 62: 599
Best fit for generation 63: 599
Best fit for generation 64: 599
Best fit for generation 65: 599
Best fit for generation 66: 599
Best fit for generation 67: 599
Best fit for generation 68: 599
Best fit for generation 69: 599
Best fit for generation 70: 599
Best fit for generation 71: 599
Best fit for generation 72: 599
Best fit for generation 73: 599
Best fit for generation 74: 599
Best fit for generation 75: 599
Best fit for generation 76: 599
Best fit for generation 77: 599
Best fit for generation 78: 599
Best fit for generation 79: 599
Best fit for generation 80: 599
Best fit for generation 81: 599
Best fit for generation 82: 599
Best fit for generation 83: 599
Best fit for generation 84: 599
Best fit for generation 85: 599
Best fit for generation 86: 599
Best fit for generation 87: 599
Best fit for generation 88: 599
