Maximum fit for each generation: 
Best fit for generation 0: 289
Best fit for generation 1: 289
Best fit for generation 2: 289
Best fit for generation 3: 289
Best fit for generation 4: 289
Best fit for generation 5: 289
Best fit for generation 6: 289
Best fit for generation 7: 289
Best fit for generation 8: 289
Best fit for generation 9: 289
Best fit for generation 10: 289
Best fit for generation 11: 289
Best fit for generation 12: 289
Best fit for generation 13: 289
Best fit for generation 14: 289
Best fit for generation 15: 289
Best fit for generation 16: 289
Best fit for generation 17: 289
Best fit for generation 18: 289
Best fit for generation 19: 289
Best fit for generation 20: 289
Best fit for generation 21: 289
Best fit for generation 22: 289
Best fit for generation 23: 289
Best fit for generation 24: 289
Best fit for generation 25: 289
Best fit for generation 26: 289
Best fit for generation 27: 289
Best fit for generation 28: 289
Best fit for generation 29: 289
Best fit for generation 30: 289
Best fit for generation 31: 289
Best fit for generation 32: 289
Best fit for generation 33: 289
Best fit for generation 34: 289
Best fit for generation 35: 289
Best fit for generation 36: 289
Best fit for generation 37: 289
Best fit for generation 38: 289
Best fit for generation 39: 289
Best fit for generation 40: 289
Best fit for generation 41: 289
Best fit for generation 42: 289
Best fit for generation 43: 289
Best fit for generation 44: 289
Best fit for generation 45: 289
Best fit for generation 46: 289
Best fit for generation 47: 289
Best fit for generation 48: 289
Best fit for generation 49: 289
Best fit for generation 50: 289
Best fit for generation 51: 289
Best fit for generation 52: 289
Best fit for generation 53: 289
Best fit for generation 54: 289
Best fit for generation 55: 289
Best fit for generation 56: 289
Best fit for generation 57: 289
Best fit for generation 58: 289
Best fit for generation 59: 289
Best fit for generation 60: 289
Best fit for generation 61: 289
Best fit for generation 62: 289
Best fit for generation 63: 289
Best fit for generation 64: 289
Best fit for generation 65: 289
Best fit for generation 66: 289
Best fit for generation 67: 289
Best fit for generation 68: 289
Best fit for generation 69: 289
Best fit for generation 70: 289
Best fit for generation 71: 289
Best fit for generation 72: 289
Best fit for generation 73: 289
Best fit for generation 74: 289
Best fit for generation 75: 289
Best fit for generation 76: 289
Best fit for generation 77: 289
Best fit for generation 78: 289
Best fit for generation 79: 289
Best fit for generation 80: 289
Best fit for generation 81: 289
Best fit for generation 82: 289
Best fit for generation 83: 289
Best fit for generation 84: 289
Best fit for generation 85: 289
Best fit for generation 86: 289
Best fit for generation 87: 289
Best fit for generation 88: 289
Best fit for generation 89: 289
Best fit for generation 90: 289
Best fit for generation 91: 289
Best fit for generation 92: 289
Best fit for generation 93: 289
Best fit for generation 94: 289
Best fit for generation 95: 289
Best fit for generation 96: 289
Best fit for generation 97: 289
Best fit for generation 98: 289
Best fit for generation 99: 289
Best fit for generation 100: 289
Best fit for generation 101: 289
Best fit for generation 102: 289
Best fit for generation 103: 289
Best fit for generation 104: 289
Best fit for generation 105: 289
Best fit for generation 106: 289
Best fit for generation 107: 289
Best fit for generation 108: 289
Best fit for generation 109: 289
Best fit for generation 110: 289
Best fit for generation 111: 289
Best fit for generation 112: 289
Best fit for generation 113: 289
Best fit for generation 114: 289
Best fit for generation 115: 289
Best fit for generation 116: 289
Best fit for generation 117: 289
Best fit for generation 118: 289
Best fit for generation 119: 289
Best fit for generation 120: 289
Best fit for generation 121: 289
Best fit for generation 122: 289
Best fit for generation 123: 289
Best fit for generation 124: 289
Best fit for generation 125: 289
Best fit for generation 126: 289
Best fit for generation 127: 289
Best fit for generation 128: 289
Best fit for generation 129: 289
Best fit for generation 130: 289
Best fit for generation 131: 289
Best fit for generation 132: 289
Best fit for generation 133: 289
Best fit for generation 134: 289
Best fit for generation 135: 289
Best fit for generation 136: 289
Best fit for generation 137: 289
Best fit for generation 138: 289
Best fit for generation 139: 289
Best fit for generation 140: 289
Best fit for generation 141: 289
Best fit for generation 142: 289
Best fit for generation 143: 289
Best fit for generation 144: 289
Best fit for generation 145: 289
Best fit for generation 146: 289
Best fit for generation 147: 289
Best fit for generation 148: 289
Best fit for generation 149: 289
Best fit for generation 150: 289
Best fit for generation 151: 289
Best fit for generation 152: 289
Best fit for generation 153: 289
Best fit for generation 154: 289
Best fit for generation 155: 293
Best fit for generation 156: 293
Best fit for generation 157: 293
Best fit for generation 158: 293
Best fit for generation 159: 293
Best fit for generation 160: 293
Best fit for generation 161: 293
Best fit for generation 162: 293
Best fit for generation 163: 293
Best fit for generation 164: 293
Best fit for generation 165: 293
Best fit for generation 166: 293
Best fit for generation 167: 293
Best fit for generation 168: 293
Best fit for generation 169: 293
Best fit for generation 170: 293
Best fit for generation 171: 293
Best fit for generation 172: 293
Best fit for generation 173: 293
Best fit for generation 174: 293
Best fit for generation 175: 293
Best fit for generation 176: 293
Best fit for generation 177: 293
Best fit for generation 178: 293
Best fit for generation 179: 293
Best fit for generation 180: 293
Best fit for generation 181: 293
Best fit for generation 182: 293
Best fit for generation 183: 293
Best fit for generation 184: 293
Best fit for generation 185: 293
Best fit for generation 186: 293
Best fit for generation 187: 293
Best fit for generation 188: 293
Best fit for generation 189: 293
Best fit for generation 190: 293
Best fit for generation 191: 293
Best fit for generation 192: 293
Best fit for generation 193: 293
Best fit for generation 194: 293
Best fit for generation 195: 293
Best fit for generation 196: 293
Best fit for generation 197: 293
Best fit for generation 198: 293
Best fit for generation 199: 293
Best fit for generation 200: 293
Best fit for generation 201: 293
Best fit for generation 202: 297
Best fit for generation 203: 297
Best fit for generation 204: 297
Best fit for generation 205: 297
Best fit for generation 206: 297
Best fit for generation 207: 297
Best fit for generation 208: 297
Best fit for generation 209: 297
Best fit for generation 210: 297
Best fit for generation 211: 297
Best fit for generation 212: 297
Best fit for generation 213: 297
Best fit for generation 214: 297
Best fit for generation 215: 297
Best fit for generation 216: 297
Best fit for generation 217: 297
Best fit for generation 218: 297
Best fit for generation 219: 297
Best fit for generation 220: 297
Best fit for generation 221: 297
Best fit for generation 222: 297
Best fit for generation 223: 297
Best fit for generation 224: 297
Best fit for generation 225: 297
Best fit for generation 226: 297
Best fit for generation 227: 297
Best fit for generation 228: 297
