Maximum fit for each generation: 
Best fit for generation 0: 636
Best fit for generation 1: 636
Best fit for generation 2: 636
Best fit for generation 3: 636
Best fit for generation 4: 636
Best fit for generation 5: 636
Best fit for generation 6: 636
Best fit for generation 7: 636
Best fit for generation 8: 636
Best fit for generation 9: 636
Best fit for generation 10: 636
Best fit for generation 11: 636
Best fit for generation 12: 636
Best fit for generation 13: 636
Best fit for generation 14: 636
Best fit for generation 15: 636
Best fit for generation 16: 636
Best fit for generation 17: 636
Best fit for generation 18: 636
Best fit for generation 19: 636
Best fit for generation 20: 636
Best fit for generation 21: 636
Best fit for generation 22: 636
Best fit for generation 23: 636
Best fit for generation 24: 636
Best fit for generation 25: 636
Best fit for generation 26: 636
Best fit for generation 27: 636
Best fit for generation 28: 636
Best fit for generation 29: 636
Best fit for generation 30: 636
Best fit for generation 31: 636
Best fit for generation 32: 636
Best fit for generation 33: 636
Best fit for generation 34: 636
Best fit for generation 35: 636
Best fit for generation 36: 636
Best fit for generation 37: 636
Best fit for generation 38: 636
Best fit for generation 39: 636
Best fit for generation 40: 636
Best fit for generation 41: 636
Best fit for generation 42: 636
Best fit for generation 43: 636
Best fit for generation 44: 636
Best fit for generation 45: 636
Best fit for generation 46: 636
Best fit for generation 47: 636
Best fit for generation 48: 636
Best fit for generation 49: 636
Best fit for generation 50: 636
Best fit for generation 51: 636
Best fit for generation 52: 636
Best fit for generation 53: 636
Best fit for generation 54: 636
Best fit for generation 55: 636
Best fit for generation 56: 636
Best fit for generation 57: 636
Best fit for generation 58: 636
Best fit for generation 59: 636
Best fit for generation 60: 636
Best fit for generation 61: 636
Best fit for generation 62: 636
Best fit for generation 63: 636
Best fit for generation 64: 636
Best fit for generation 65: 636
Best fit for generation 66: 636
Best fit for generation 67: 636
Best fit for generation 68: 636
Best fit for generation 69: 636
Best fit for generation 70: 636
Best fit for generation 71: 636
Best fit for generation 72: 636
Best fit for generation 73: 636
Best fit for generation 74: 636
Best fit for generation 75: 636
Best fit for generation 76: 636
Best fit for generation 77: 636
Best fit for generation 78: 636
Best fit for generation 79: 636
Best fit for generation 80: 636
Best fit for generation 81: 636
Best fit for generation 82: 636
Best fit for generation 83: 636
Best fit for generation 84: 636
Best fit for generation 85: 636
Best fit for generation 86: 636
Best fit for generation 87: 636
Best fit for generation 88: 636
Best fit for generation 89: 636
Best fit for generation 90: 636
Best fit for generation 91: 636
Best fit for generation 92: 636
Best fit for generation 93: 636
Best fit for generation 94: 636
Best fit for generation 95: 636
Best fit for generation 96: 636
Best fit for generation 97: 636
Best fit for generation 98: 636
Best fit for generation 99: 636
Best fit for generation 100: 636
Best fit for generation 101: 636
Best fit for generation 102: 636
Best fit for generation 103: 636
Best fit for generation 104: 636
Best fit for generation 105: 636
Best fit for generation 106: 636
Best fit for generation 107: 636
Best fit for generation 108: 636
Best fit for generation 109: 636
Best fit for generation 110: 636
Best fit for generation 111: 636
Best fit for generation 112: 636
Best fit for generation 113: 636
Best fit for generation 114: 636
Best fit for generation 115: 636
Best fit for generation 116: 636
Best fit for generation 117: 636
Best fit for generation 118: 636
Best fit for generation 119: 636
Best fit for generation 120: 636
Best fit for generation 121: 636
Best fit for generation 122: 636
Best fit for generation 123: 636
Best fit for generation 124: 636
Best fit for generation 125: 636
Best fit for generation 126: 636
Best fit for generation 127: 636
Best fit for generation 128: 636
Best fit for generation 129: 636
Best fit for generation 130: 636
Best fit for generation 131: 636
Best fit for generation 132: 636
Best fit for generation 133: 659
Best fit for generation 134: 659
Best fit for generation 135: 659
Best fit for generation 136: 659
Best fit for generation 137: 659
Best fit for generation 138: 659
